                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                 1.4382,                 2.5972,                 1.8163,                 1.5993,                0.65653,                0.21655,                0.23864,                0.13844,                0.66278,                0.21843,                0.22704,                0.11331,                 1.7199,                 3.0872,                 2.0442,                 1.9366,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.4065,                 2.5677,                 1.8123,                 1.5516,                0.24665,                 0.2393,                 0.2165,                0.12091,                0.26602,                0.21386,                0.19901,                0.09961,                 1.7342,                 3.1379,                  2.154,                  1.914,             0.00087726,             0.00087726,             0.00087726
                     42,                  1.398,                 2.5315,                 1.7143,                 1.5273,                0.59309,                0.29438,                0.24053,                0.14219,                0.59361,                0.29438,                 0.2326,                0.12114,                 1.6672,                 2.9808,                 1.9926,                 1.8785,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.4444,                 2.5461,                 1.7591,                 1.5484,                0.31203,                0.26642,                0.25721,                0.15265,                0.30312,                0.25629,                0.24208,                0.12854,                 1.6412,                 2.9459,                  1.963,                 1.8614,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.3345,                 2.4849,                 1.7229,                 1.5197,                0.61462,                0.25605,                0.24482,                0.14754,                0.61151,                0.25072,                0.23541,                0.12559,                 1.6177,                 2.9324,                 2.0172,                 1.8392,             0.00083482,             0.00083482,             0.00083482
                     45,                  1.311,                 2.4848,                 1.6603,                 1.4818,                0.65592,                0.24758,                0.25358,                0.15328,                0.66053,                0.25917,                0.25424,                0.12661,                 1.6179,                 2.9893,                 1.9191,                 1.8146,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.3141,                 2.4737,                 1.6378,                 1.4817,                0.33477,                0.28279,                0.28202,                0.17198,                0.33363,                0.27717,                0.27091,                0.14431,                 1.5636,                 2.8523,                 1.8521,                 1.7956,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.3367,                 2.4616,                 1.6516,                 1.4982,                0.69195,                0.27218,                0.29368,                0.18569,                  0.663,                0.27682,                 0.2806,                0.15217,                 1.5592,                 2.8449,                 1.8635,                  1.798,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.2668,                 2.3657,                 1.5503,                 1.4539,                0.63791,                0.21926,                0.23611,                0.14098,                0.63188,                0.22485,                0.22092,                0.11981,                 1.5837,                  2.913,                 2.0558,                 1.8354,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.2941,                 2.3546,                 1.5784,                 1.4691,                0.31496,                0.29854,                0.29403,                0.18042,                0.30941,                0.29216,                0.28064,                0.15236,                 1.5534,                 2.8256,                 1.8301,                 1.8038,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.2745,                 2.3951,                 1.5439,                 1.4385,                0.33347,                0.27695,                0.28025,                 0.1768,                0.32969,                0.27507,                0.27252,                0.14757,                 1.5429,                 2.8093,                 1.8561,                 1.7567,             0.00074994,             0.00074994,             0.00074994
