                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.48821,                0.54567,                  1.037,                0.78448,                0.75406,                0.82718,                0.71929,                0.51313,                0.75226,                  1.002,             0.00070981,             0.00070981,             0.00070981
                     61,                0.47354,                0.53834,                 1.0246,                0.79072,                0.75741,                0.82581,                0.72459,                0.51463,                0.75705,                0.98673,             0.00069331,             0.00069331,             0.00069331
                     62,                0.48875,                0.53486,                 1.0318,                0.77388,                0.75186,                 0.8027,                0.69736,                0.52851,                0.78244,                0.99716,              0.0006768,              0.0006768,              0.0006768
                     63,                0.47755,                0.51853,                 1.0227,                0.74306,                0.77579,                0.79965,                0.69646,                0.51359,                0.80551,                0.99696,              0.0006603,              0.0006603,              0.0006603
                     64,                0.46457,                0.50631,                 1.0237,                0.81162,                0.72888,                0.82683,                0.72376,                0.50663,                0.73096,                0.99042,              0.0006438,              0.0006438,              0.0006438
                     65,                0.47216,                0.51813,                 1.0254,                0.77278,                0.77774,                0.80344,                0.70946,                0.50023,                0.82532,                0.99509,             0.00062729,             0.00062729,             0.00062729
                     66,                0.45508,                0.50572,                 1.0128,                0.79092,                0.73964,                0.80725,                 0.7076,                0.52346,                0.82676,                 1.0009,             0.00061079,             0.00061079,             0.00061079
                     67,                0.45928,                0.49762,                 1.0174,                0.76697,                0.75098,                 0.7859,                 0.6911,                 0.5071,                0.85695,                0.98345,             0.00059429,             0.00059429,             0.00059429
                     68,                0.45977,                0.48015,                 1.0187,                0.77911,                0.75533,                0.81047,                0.70899,                0.51434,                0.78514,                 1.0015,             0.00057778,             0.00057778,             0.00057778
                     69,                0.44445,                0.48098,                 1.0073,                0.73555,                0.77745,                0.81272,                0.71496,                0.50372,                0.75803,                 1.0052,             0.00056128,             0.00056128,             0.00056128
                     70,                0.44133,                0.48214,                 1.0107,                0.79284,                0.70853,                0.77653,                0.67089,                0.53623,                0.86014,                 1.0293,             0.00054478,             0.00054478,             0.00054478
                     71,                0.44429,                0.47232,                 1.0043,                0.79824,                0.74726,                0.81692,                0.72335,                0.50049,                0.76125,                0.99723,             0.00052827,             0.00052827,             0.00052827
                     72,                0.43656,                0.47078,                0.99817,                0.77148,                0.78906,                0.81736,                 0.7231,                0.51062,                0.77308,                 1.0137,             0.00051177,             0.00051177,             0.00051177
                     73,                0.44817,                0.47633,                 1.0079,                0.81106,                0.76444,                0.82048,                0.72262,                0.52521,                0.76237,                 1.0178,             0.00049527,             0.00049527,             0.00049527
                     74,                0.43299,                0.46218,                 1.0042,                0.80458,                0.76391,                0.81307,                0.71901,                 0.5107,                0.77135,                 1.0063,             0.00047876,             0.00047876,             0.00047876
                     75,                0.43347,                0.45817,                 1.0003,                0.79476,                0.77322,                0.81675,                0.71629,                0.50835,                 0.7447,                 1.0049,             0.00046226,             0.00046226,             0.00046226
                     76,                0.43544,                0.46351,                 1.0002,                0.78643,                0.80189,                0.83487,                0.73563,                0.51443,                0.71982,                 1.0069,             0.00044576,             0.00044576,             0.00044576
                     77,                 0.4264,                0.45325,                 1.0012,                0.80933,                0.76434,                0.82656,                0.73251,                0.49385,                0.73789,                0.99253,             0.00042925,             0.00042925,             0.00042925
                     78,                0.42016,                0.43941,                 0.9926,                0.82037,                0.75741,                0.81515,                0.72075,                 0.4963,                0.75666,                0.99184,             0.00041275,             0.00041275,             0.00041275
                     79,                0.42282,                0.43449,                0.99175,                0.84058,                0.75871,                 0.8366,                0.74527,                0.48973,                0.69173,                0.97121,             0.00039625,             0.00039625,             0.00039625
                     80,                0.41018,                 0.4226,                0.98778,                0.78551,                0.78751,                0.82644,                0.73476,                0.50094,                0.75399,                0.99372,             0.00037974,             0.00037974,             0.00037974
                     81,                0.40701,                0.42882,                0.98644,                0.81956,                0.77966,                0.82427,                0.72496,                0.50103,                0.75096,                 1.0018,             0.00036324,             0.00036324,             0.00036324
                     82,                0.40729,                0.42451,                0.98245,                0.83002,                0.76105,                0.83327,                0.73272,                0.51222,                0.71624,                 1.0158,             0.00034674,             0.00034674,             0.00034674
                     83,                0.40193,                0.41064,                0.98065,                0.79222,                0.75974,                 0.8082,                0.70935,                0.52059,                0.78671,                 1.0359,             0.00033023,             0.00033023,             0.00033023
                     84,                0.40235,                0.41304,                0.98628,                0.81274,                0.77666,                0.83553,                0.74213,                0.48906,                0.71588,                 1.0002,             0.00031373,             0.00031373,             0.00031373
                     85,                0.39492,                0.39415,                0.97587,                0.76722,                0.80975,                0.82734,                0.73739,                 0.4951,                0.76005,                0.99149,             0.00029723,             0.00029723,             0.00029723
                     86,                0.39194,                0.40516,                0.98043,                 0.7857,                0.80075,                 0.8373,                0.74605,                 0.4917,                0.72307,                0.99624,             0.00028072,             0.00028072,             0.00028072
                     87,                0.38566,                0.39458,                0.97184,                0.80618,                0.79353,                0.83998,                0.74568,                0.48696,                0.70796,                 1.0019,             0.00026422,             0.00026422,             0.00026422
                     88,                0.38402,                 0.3856,                0.97557,                0.78847,                0.79984,                0.83842,                0.74752,                0.49236,                0.72086,                 1.0032,             0.00024772,             0.00024772,             0.00024772
                     89,                0.38004,                0.38166,                0.96704,                0.75894,                0.79644,                0.82194,                0.73282,                0.49949,                0.78575,                 1.0109,             0.00023121,             0.00023121,             0.00023121
                     90,                0.37389,                0.37983,                0.96771,                0.84197,                0.76277,                0.83619,                0.74181,                0.49046,                0.70713,                 1.0081,             0.00021471,             0.00021471,             0.00021471
                     91,                0.32825,                0.27282,                 0.9299,                0.79308,                 0.7785,                0.82163,                0.72965,                0.48914,                0.77454,                0.99773,             0.00019821,             0.00019821,             0.00019821
                     92,                0.31071,                0.24893,                0.92029,                   0.81,                0.78671,                0.83306,                0.73895,                0.49291,                0.73952,                 1.0071,              0.0001817,              0.0001817,              0.0001817
                     93,                0.30945,                0.24947,                0.91566,                0.84282,                0.75205,                0.83182,                0.74128,                0.49036,                0.74469,                 1.0101,              0.0001652,              0.0001652,              0.0001652
                     94,                  0.304,                0.24135,                0.91481,                0.76608,                  0.808,                0.82962,                0.74165,                0.48006,                 0.7807,                0.99052,              0.0001487,              0.0001487,              0.0001487
                     95,                0.30157,                0.23705,                0.90988,                0.80661,                0.77348,                0.82827,                0.73736,                0.48247,                0.74527,                0.99599,             0.00013219,             0.00013219,             0.00013219
                     96,                0.29289,                0.23523,                0.90779,                0.77795,                0.80663,                0.84036,                 0.7465,                0.48438,                0.77087,                 1.0018,             0.00011569,             0.00011569,             0.00011569
                     97,                 0.2919,                0.22628,                0.91191,                0.80439,                0.80593,                0.83936,                0.74611,                0.48288,                0.71648,                 1.0107,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.28309,                0.22315,                0.90404,                0.81789,                0.78974,                0.84397,                0.75236,                 0.4922,                0.72219,                 1.0189,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.27897,                0.21453,                0.90714,                0.80347,                0.81811,                0.85085,                0.76267,                0.47756,                0.70551,                 1.0017,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.27657,                0.21074,                0.89647,                0.80665,                0.81194,                0.84766,                0.76234,                0.47563,                0.69344,                 1.0021,             4.9677e-05,             4.9677e-05,             4.9677e-05
